"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000081451.1",18,14,15,14,21,34,34,9,17,0,0,3,3,2,0,3,0,2,2,1
"ENSMUSG00000082646.1",9,13,24,21,20,24,27,11,21,0,1,0,0,0,0,1,0,0,0,1
"ENSMUSG00000081543.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000077442.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037857.16",1335,1374,2994,2222,2782,2390,2480,1656,2640,978,1013,409,805,1225,555,440,1001,1062,495,485
"ENSMUSG00000000724.10",12,9,15,7,9,4,9,1,10,0,4,0,2,1,0,1,0,6,2,0
"ENSMUSG00000081924.1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000631.20",18781,19181,21353,23174,23710,20194,18442,11800,20978,7188,7784,2969,5645,7773,3838,3273,6858,7549,3185,2941
"ENSMUSG00000069804.2",40,50,67,42,54,28,26,16,32,3,3,1,4,1,0,0,5,0,0,2
"ENSMUSG00000017453.4",32,35,59,39,28,29,33,24,32,74,105,30,55,120,40,42,103,93,30,42
"ENSMUSG00000055045.5",5,6,7,7,4,11,4,2,9,8,9,5,4,11,3,3,5,12,3,2
"ENSMUSG00000000632.13",13692,19790,16423,19466,25600,19463,15911,10208,19460,10999,11555,3980,8156,11039,5487,4294,10208,9331,4518,4063
"ENSMUSG00000037791.15",1841,2004,2434,2354,2571,2075,2209,1380,2471,2537,2886,912,2041,2781,1329,1133,2542,2675,1229,1057
"ENSMUSG00000087050.1",7,8,13,12,6,23,8,12,11,9,7,5,8,6,5,4,5,3,3,0
"ENSMUSG00000020834.17",207,172,313,269,262,238,238,186,286,117,173,44,109,145,70,59,148,139,66,70
"ENSMUSG00000061981.14",3923,4259,5107,5630,5823,5556,4948,3131,5328,3896,4689,1495,2968,4305,2094,1814,3799,4145,1867,1769
"ENSMUSG00000065401.1",1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104813.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070065.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020832.14",596,644,1001,961,898,857,762,558,1009,695,801,297,516,804,378,316,696,772,335,303
"ENSMUSG00000037750.16",1293,1446,1798,1710,2123,1635,1555,930,1946,1419,1399,534,1113,1640,750,688,1365,1568,663,592
"ENSMUSG00000060727.4",9,7,29,21,7,13,10,5,18,17,14,8,10,12,10,9,14,12,9,4
"ENSMUSG00000017386.10",747,723,1050,959,931,951,713,451,818,339,447,130,310,493,210,168,357,429,191,166
"ENSMUSG00000017405.14",155,190,267,211,243,257,221,148,237,174,233,60,155,246,99,96,181,211,118,86
"ENSMUSG00000019437.17",267,310,481,322,367,433,342,240,368,590,744,164,439,732,310,275,682,680,285,232
"ENSMUSG00000099101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058546.8",563,564,1317,1188,1163,1278,1093,894,1312,1425,1818,514,1217,1497,742,729,1444,1689,644,635
"ENSMUSG00000064540.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077625.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065676.1",5,3,5,13,10,10,15,1,7,20,10,5,8,7,5,3,12,14,5,9
"ENSMUSG00000002059.18",932,934,1402,1140,1115,1127,1048,762,1148,1113,1316,403,823,1303,527,538,1022,1300,494,439
"ENSMUSG00000044122.14",73,69,67,83,78,73,82,44,75,66,98,19,69,77,54,36,97,99,43,41
"ENSMUSG00000002052.6",9181,9786,14991,14767,14536,13680,12857,8848,14832,9546,10526,3875,7377,11459,5335,4536,9106,10370,4597,4176
"ENSMUSG00000002064.10",857,802,1451,1282,1422,1514,1402,967,1466,1623,2109,675,1231,2073,905,821,1505,1805,788,778
"ENSMUSG00000010277.7",12744,14984,26920,28442,22021,24849,19840,13945,24484,11549,13716,4954,9724,14186,6385,5575,11672,12310,5816,5030
"ENSMUSG00000086586.1",4,6,5,1,12,10,2,0,4,9,9,0,7,3,2,1,2,5,3,1
"ENSMUSG00000037593.11",70,83,174,124,131,119,80,77,176,134,226,72,139,154,87,73,212,185,82,100
"ENSMUSG00000087295.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002055.9",132,138,262,227,206,209,187,114,220,455,635,189,399,501,283,219,544,615,269,233
"ENSMUSG00000017390.15",24493,29436,44485,45680,42771,46692,40627,28850,45616,27255,33178,11709,21061,32286,14055,13213,27655,31173,13020,11950
"ENSMUSG00000041958.10",3466,3657,3950,3944,4884,4298,4035,2640,4135,2184,2648,949,1793,2847,1171,1008,2222,2469,1079,910
"ENSMUSG00000002058.13",1305,1315,1781,1645,1980,1793,1517,1026,1770,852,1185,378,753,1216,515,410,1008,1000,503,423
"ENSMUSG00000002057.4",3,0,11,0,1,2,0,5,1,2,2,0,2,0,0,2,3,2,1,0
"ENSMUSG00000085747.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000001095.5",0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0
"ENSMUSG00000086380.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020829.9",1450,1498,1937,1800,2106,1948,1708,1208,1897,712,870,285,642,871,386,343,762,872,384,349
"ENSMUSG00000050132.13",3237,3385,3630,4067,4803,3630,3606,2148,4016,1482,1520,567,1274,1571,780,705,1556,1643,708,533
"ENSMUSG00000017344.4",1843,2417,3281,2935,2826,2983,2671,1551,2280,2329,4579,813,1700,3010,1195,1194,1900,2762,1065,1266
"ENSMUSG00000001103.7",291,291,473,517,504,428,491,278,620,190,229,86,176,206,108,137,219,308,111,100
"ENSMUSG00000051232.13",827,799,1408,1299,1261,1340,1348,1007,1476,1339,1658,527,1062,1604,762,659,1386,1492,648,646
"ENSMUSG00000001100.10",4104,4381,6581,6604,6320,6244,5671,3885,6528,3804,4513,1453,2978,4396,1897,1811,3816,4101,1757,1573
"ENSMUSG00000017615.12",1122,1276,2111,2141,1918,1928,1741,1179,2091,1849,2276,771,1549,2327,1018,967,2034,2061,934,887
"ENSMUSG00000001105.15",706,737,1355,1159,1135,1232,1120,819,1384,1801,2250,698,1383,2147,927,887,1829,2066,855,816
"ENSMUSG00000037278.9",282,234,386,307,400,409,366,235,395,356,389,133,270,515,209,158,387,345,180,149
"ENSMUSG00000083176.1",5,2,4,0,0,0,0,0,4,3,0,0,0,0,1,0,0,1,1,0
"ENSMUSG00000089184.1",1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000017376.15",1937,2294,3186,3139,3231,3050,2710,1670,3444,2412,2925,1016,2041,2891,1349,1177,2688,2629,1159,1110
"ENSMUSG00000080180.3",9,7,12,14,10,4,6,3,10,18,6,7,9,10,2,5,6,3,3,7
"ENSMUSG00000082110.1",14,12,12,25,20,19,17,14,24,2,1,0,0,1,0,0,0,2,1,1
"ENSMUSG00000085115.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049489.5",300,321,519,463,488,450,488,257,572,522,579,183,399,601,275,225,467,631,248,223
"ENSMUSG00000080600.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088748.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072640.11",1681,2065,3413,3059,2533,3061,2132,1518,2764,1805,2365,655,1599,2176,907,781,1961,1581,865,875
"ENSMUSG00000020826.8",33,32,46,26,22,24,13,12,16,29,36,12,20,37,15,11,30,29,15,17
"ENSMUSG00000001123.15",108,112,175,137,137,137,151,108,129,243,324,102,189,284,130,124,194,235,117,144
"ENSMUSG00000018334.17",12659,15096,14706,17919,19571,14837,13483,7978,15880,5707,6016,2928,4751,6220,3075,2581,5816,6805,2765,2168
"ENSMUSG00000085941.1",20,32,40,52,47,29,34,18,51,39,26,15,27,53,20,14,36,42,21,22
"ENSMUSG00000081000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000017677.11",893,1056,2003,1404,1567,1682,1191,978,1677,4777,5994,1938,3717,5224,2663,2307,5063,4738,2230,2258
"ENSMUSG00000108822.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055072.2",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020716.16",8380,9554,13821,13662,16248,12032,12833,8953,14858,3426,3804,1462,2702,3797,1962,1485,3422,3651,1680,1624
"ENSMUSG00000082304.1",8,8,8,7,15,3,2,5,2,0,0,0,1,1,0,0,2,2,0,0
"ENSMUSG00000082529.1",0,0,6,0,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000091523.1",11,10,38,13,30,24,7,14,10,9,14,5,7,12,3,4,8,11,4,9
"ENSMUSG00000049612.10",1370,1335,2398,2070,2346,2052,2073,1694,2476,4344,4939,1710,3373,4792,2416,2068,4287,4462,2030,1871
"ENSMUSG00000070354.13",1,3,13,3,7,3,3,3,6,1,2,1,2,1,2,0,3,2,1,0
"ENSMUSG00000093938.2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078771.10",204,168,446,305,440,266,399,356,381,833,830,361,600,1028,418,504,811,1046,391,365
"ENSMUSG00000017639.13",45469,45953,52185,51167,52959,48127,45417,28369,50723,10821,12233,4259,9111,12284,5672,4488,11177,11539,4867,4261
"ENSMUSG00000064486.1",2,2,6,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000087434.1",27,27,44,23,29,21,20,8,25,3,3,1,1,2,1,1,3,4,0,1
"ENSMUSG00000088879.1",0,7,3,3,4,6,2,5,0,0,2,0,0,0,0,0,0,1,1,1
"ENSMUSG00000077574.1",2,4,1,3,4,3,1,5,3,1,1,0,0,0,0,0,4,2,1,2
"ENSMUSG00000086569.1",18,19,38,19,15,17,12,8,14,1,1,0,5,3,0,0,0,3,0,1
"ENSMUSG00000084969.1",4,7,3,1,3,5,4,5,5,2,1,1,1,2,0,2,2,2,0,2
"ENSMUSG00000065395.1",1,4,8,0,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065489.1",1,6,0,0,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0,2
"ENSMUSG00000086474.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065283.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083395.1",33,29,43,41,53,58,54,29,42,0,1,0,1,2,0,1,0,0,0,1
"ENSMUSG00000082252.1",0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000035575.11",710,730,1464,1232,1240,1346,1332,1012,1477,1687,2009,737,1383,2020,964,826,1710,1870,877,810
"ENSMUSG00000017548.15",741,790,1606,1191,1432,1244,1301,1087,1490,1599,1904,754,1163,1939,931,847,1697,1785,857,840
"ENSMUSG00000097335.1",13,9,24,20,18,9,12,5,20,3,12,1,2,7,2,5,9,2,1,5
"ENSMUSG00000017561.16",339,365,725,601,596,645,571,398,595,517,665,233,437,720,321,289,576,687,282,231
"ENSMUSG00000017550.14",136,95,271,190,254,207,207,174,238,238,277,112,207,238,149,115,238,221,115,147
"ENSMUSG00000046909.9",110,100,162,167,173,171,181,128,180,211,247,108,158,236,104,121,191,236,117,105
"ENSMUSG00000020709.15",140,177,301,223,205,207,196,103,185,159,188,56,91,193,68,66,127,169,58,55
"ENSMUSG00000086507.1",22,13,38,19,15,23,31,14,24,16,19,6,17,23,9,11,17,15,6,3
"ENSMUSG00000020707.6",166,164,271,223,236,274,200,167,223,167,210,47,137,209,82,83,169,204,83,76
"ENSMUSG00000017686.16",1372,1452,2867,2458,2596,2336,2409,1785,2719,3027,3585,1355,2468,3537,1745,1603,3163,3547,1689,1470
"ENSMUSG00000017692.8",2721,3205,3090,3686,3350,3276,2803,1712,3788,913,1124,397,763,1004,496,433,1084,1051,417,403
"ENSMUSG00000057181.15",1552,1603,2927,2688,2823,2878,2694,2113,3220,3712,4061,1441,2850,4235,1972,1921,3604,3685,1809,1751
"ENSMUSG00000017421.18",2147,2166,4264,3432,3802,3751,3263,2463,3795,5409,6445,2577,4259,6449,3143,2773,5391,6281,3021,2681
"ENSMUSG00000017428.16",1514,1787,2111,2271,2618,1972,2043,1132,2141,2225,2596,940,1814,2703,1255,1123,2226,2442,1134,946
"ENSMUSG00000048895.13",21838,22172,23813,25782,27778,24347,23013,15268,27125,9709,10504,3792,7724,10736,5182,4529,9732,10757,4641,4198
"ENSMUSG00000035441.14",884,831,1321,1009,1269,885,978,725,757,801,773,305,607,1130,425,377,700,878,388,346
"ENSMUSG00000085078.1",3,5,10,2,4,2,2,2,7,3,3,0,3,1,1,0,3,1,0,0
"ENSMUSG00000035413.8",540,460,915,606,669,746,663,693,486,416,485,137,270,849,277,238,374,491,271,186
"ENSMUSG00000081663.1",0,8,5,3,3,1,2,0,4,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000086703.1",0,0,0,0,3,0,0,0,2,0,0,1,1,1,0,0,0,1,0,1
"ENSMUSG00000053184.15",1,0,0,0,1,1,1,0,4,1,1,0,0,1,1,0,0,0,0,0
"ENSMUSG00000020704.13",3187,3572,3955,4480,4997,4280,3590,2279,4100,2473,2794,1004,1915,2484,1080,1037,2133,2523,923,905
"ENSMUSG00000082027.1",7,6,8,2,4,7,1,0,2,0,0,1,0,1,1,0,0,2,0,0
"ENSMUSG00000085130.1",6,3,14,18,17,14,11,9,15,1,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000086971.1",1,4,1,3,6,1,2,1,5,2,5,2,5,2,1,0,5,3,7,0
"ENSMUSG00000080980.1",2,6,16,2,4,3,2,5,5,1,2,1,1,1,1,0,0,0,0,0
"ENSMUSG00000087534.1",4,3,5,5,3,3,0,5,7,1,0,0,1,3,1,1,0,1,0,0
"ENSMUSG00000020703.3",27,23,35,23,33,16,12,4,21,4,4,3,12,5,0,1,8,10,4,2
"ENSMUSG00000109297.1",2,1,0,3,3,1,3,0,8,13,13,2,6,10,6,7,6,6,5,4
"ENSMUSG00000084996.1",0,1,2,2,2,0,0,0,3,4,2,3,2,5,0,0,3,4,1,1
"ENSMUSG00000092157.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035385.5",0,4,4,0,3,3,0,1,1,1,2,0,1,9,0,1,3,2,2,0
"ENSMUSG00000035373.2",2,0,3,0,2,0,0,0,0,1,4,0,0,3,0,0,1,1,0,1
"ENSMUSG00000020676.2",1,2,0,0,0,2,1,3,0,2,5,0,0,1,0,2,2,1,2,0
"ENSMUSG00000035352.3",9,0,7,12,4,8,5,11,9,12,20,4,2,15,7,9,1,9,0,5
"ENSMUSG00000009185.2",0,0,1,0,0,5,2,0,1,1,6,2,2,1,0,0,1,1,0,2
"ENSMUSG00000020702.13",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000113710.1",15,6,16,5,18,7,3,7,21,13,20,5,8,11,6,2,9,11,7,14
"ENSMUSG00000020701.12",1254,1109,1003,1052,1318,1081,1021,714,1076,438,504,137,315,500,240,144,495,450,170,231
"ENSMUSG00000065201.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069796.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020698.11",6,12,10,4,6,8,3,11,9,5,11,3,8,5,5,8,9,10,9,3
"ENSMUSG00000083203.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000083371.1",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081828.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046010.7",184,196,387,307,352,361,380,212,399,360,391,126,272,468,199,196,370,452,196,179
"ENSMUSG00000085175.7",12,22,32,13,17,19,31,14,38,23,23,14,15,34,13,12,28,36,22,15
"ENSMUSG00000020697.16",673,838,1407,1211,1149,1111,983,710,1205,1031,1122,425,837,1254,590,542,1069,1052,502,518
"ENSMUSG00000020696.18",611,437,854,704,745,507,592,466,601,623,594,254,482,700,333,323,585,678,307,287
"ENSMUSG00000018841.17",873,962,1264,1309,1351,1163,1061,739,1373,579,629,253,434,614,286,290,593,652,263,244
"ENSMUSG00000018844.6",82,109,135,94,131,110,64,44,93,155,194,78,143,222,92,100,242,222,107,91
"ENSMUSG00000020692.14",536,536,714,718,722,659,619,355,674,542,597,223,426,670,288,250,555,640,261,256
"ENSMUSG00000018845.14",30,51,60,26,29,31,28,11,25,41,44,20,46,55,28,25,43,67,16,25
"ENSMUSG00000086058.1",0,0,2,0,1,2,0,0,0,2,3,2,3,4,2,1,2,5,1,1
"ENSMUSG00000086327.2",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,1,0
"ENSMUSG00000054404.13",75,82,210,154,144,140,131,100,106,179,310,56,151,249,105,94,195,189,112,107
"ENSMUSG00000082726.1",0,0,0,0,1,0,1,1,1,0,1,0,0,2,0,0,1,1,0,1
"ENSMUSG00000111857.1",0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"ENSMUSG00000069793.12",18,10,19,7,9,4,19,25,23,9,12,6,13,20,11,9,17,6,0,7
"ENSMUSG00000098840.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035208.16",8,8,33,42,19,40,22,32,26,33,45,13,27,42,22,20,29,37,16,24
"ENSMUSG00000082419.3",73,66,127,113,98,113,104,58,121,0,3,1,4,4,0,3,3,1,1,1
"ENSMUSG00000072621.13",1,0,2,0,1,0,1,4,1,1,2,1,0,1,2,0,0,1,0,2
"ENSMUSG00000098995.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110908.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000072620.3",24,31,45,56,48,60,49,48,81,49,85,18,39,70,15,25,49,55,18,32
"ENSMUSG00000111713.1",0,1,1,1,3,0,1,0,3,1,2,0,2,1,1,0,1,3,1,2
"ENSMUSG00000111016.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078763.2",1,2,0,2,0,0,0,0,0,1,7,1,0,1,1,0,0,4,1,1
"ENSMUSG00000111344.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111168.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111480.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110941.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111152.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000204.16",0,1,0,0,1,2,5,0,2,1,4,1,0,0,0,0,0,2,2,1
"ENSMUSG00000018986.10",7,16,17,10,10,13,15,6,5,9,18,3,10,12,2,5,7,7,6,6
"ENSMUSG00000087107.8",2,1,2,5,1,2,4,2,2,3,2,1,5,4,1,5,1,9,3,2
"ENSMUSG00000083161.2",0,1,3,6,4,5,2,5,8,8,7,2,30,7,1,6,10,3,2,3
"ENSMUSG00000064856.1",88,101,79,72,77,90,70,30,46,0,0,0,1,0,0,0,1,0,0,0
"ENSMUSG00000082101.3",0,0,0,0,0,4,1,0,1,0,1,0,1,0,1,0,0,0,0,0
"ENSMUSG00000093483.1",80,43,105,73,62,84,35,38,81,104,113,36,60,91,34,50,83,89,40,46
"ENSMUSG00000065715.1",7,9,10,9,17,7,5,4,8,21,17,10,8,20,10,9,23,27,8,14
"ENSMUSG00000018733.10",194,178,290,279,292,237,328,199,284,373,476,192,297,483,235,217,414,424,207,210
"ENSMUSG00000035152.14",21496,23220,35920,38386,36056,36080,30511,22694,36255,16631,19254,7413,14089,19871,9250,7787,16587,17091,8035,7092
"ENSMUSG00000077217.1",0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000020684.14",26481,26866,26368,25439,30383,27420,26466,15530,27027,8789,9963,3292,7264,9697,4605,4060,8739,10561,3929,3608
"ENSMUSG00000020686.12",214,216,300,193,287,194,184,165,215,58,75,17,38,102,30,30,42,83,48,27
"ENSMUSG00000035085.5",42,48,45,23,38,29,26,43,29,19,22,10,11,22,11,12,37,24,12,7
"ENSMUSG00000020682.17",230,216,262,239,247,243,185,135,200,94,134,35,79,97,52,45,86,96,49,55
"ENSMUSG00000020680.15",380,463,716,538,612,598,470,379,623,2252,2813,994,1652,2743,1299,1224,2111,2674,1123,1205
"ENSMUSG00000018925.3",8,6,17,5,11,12,6,5,19,4,6,0,4,4,1,2,0,2,2,1
"ENSMUSG00000065307.1",4,0,3,0,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035042.2",6,3,13,2,7,5,0,0,5,6,11,0,2,4,3,0,4,7,4,3
"ENSMUSG00000019122.8",23,19,24,27,28,45,39,25,41,50,74,23,45,57,31,20,34,30,16,19
"ENSMUSG00000051832.7",0,1,2,0,1,1,1,0,0,2,0,0,1,3,2,4,7,2,1,1
"ENSMUSG00000018927.3",10,37,28,48,45,40,25,18,28,44,68,15,38,50,27,20,32,48,13,14
"ENSMUSG00000081906.2",0,1,2,3,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000000982.5",4,3,12,8,2,6,8,9,14,7,6,6,3,17,4,2,5,7,2,1
"ENSMUSG00000018930.3",1,8,2,3,4,2,3,3,3,1,3,1,6,3,2,2,0,4,0,1
"ENSMUSG00000083664.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083932.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081449.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080927.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083163.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069792.5",4,2,5,1,1,2,1,0,4,2,12,1,1,6,2,2,3,6,0,1
"ENSMUSG00000000983.13",16,16,27,19,24,8,14,9,16,16,8,10,13,13,15,10,10,23,7,4
"ENSMUSG00000051748.2",0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000976.13",829,976,1427,1303,1335,1207,1141,761,1221,1207,1356,536,950,1358,659,543,1222,1336,613,596
"ENSMUSG00000088631.1",0,0,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000081342.1",7,4,7,4,6,8,0,10,13,2,7,0,4,6,4,4,8,4,2,0
"ENSMUSG00000085235.1",22,36,38,31,41,29,39,16,41,30,33,14,17,36,29,20,40,46,24,16
"ENSMUSG00000084666.1",0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,2,1,0
"ENSMUSG00000020679.11",6,19,14,11,6,12,13,5,26,23,28,13,11,13,19,11,18,30,9,12
"ENSMUSG00000020677.7",344,390,838,630,674,619,717,580,755,981,1142,438,801,1232,599,557,978,1115,547,469
"ENSMUSG00000034940.15",4470,4873,7507,7276,7158,6391,6491,4286,7609,3849,4311,1655,2881,4240,2019,1713,3681,4063,1836,1681
"ENSMUSG00000018648.15",1264,1191,1653,1500,1614,1394,1335,842,1781,863,960,405,637,1121,514,442,760,1005,360,356
"ENSMUSG00000018651.14",484,501,879,745,715,718,676,541,833,1154,1440,485,943,1450,693,648,1228,1346,550,533
"ENSMUSG00000020532.18",3756,4129,7652,7141,6431,6269,6036,4329,6518,2162,2634,916,1871,2483,1222,1030,2456,2314,1106,1041
"ENSMUSG00000051452.8",2,0,7,5,8,0,1,0,1,0,1,0,4,3,0,0,2,1,1,1
"ENSMUSG00000103122.1",3,8,6,1,6,4,0,3,3,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000018697.14",443,428,675,607,646,583,596,497,660,441,541,199,341,525,246,217,419,508,219,190
"ENSMUSG00000018698.15",11,10,24,15,6,6,4,5,4,8,11,6,14,35,12,5,8,31,10,4
"ENSMUSG00000087211.7",9,10,17,6,5,1,4,8,4,0,9,2,4,14,4,2,5,15,2,5
"ENSMUSG00000085044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087407.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000018405.7",713,698,925,948,893,835,873,490,1025,450,480,143,311,522,226,203,431,480,197,175
"ENSMUSG00000034449.7",185,177,210,185,232,233,217,179,181,175,269,68,154,347,125,109,169,206,141,109
"ENSMUSG00000086799.1",10,23,17,7,10,11,13,7,15,1,2,1,1,1,1,2,0,3,0,0
"ENSMUSG00000020530.14",1379,1505,2758,2276,2633,2602,2480,1778,2764,3924,4773,1602,3087,4682,2275,2160,3959,4286,2045,1872
"ENSMUSG00000045140.8",102,110,144,115,155,116,137,106,196,184,204,66,127,215,106,105,183,189,102,72
"ENSMUSG00000020527.14",216,221,375,284,252,256,222,157,262,479,593,220,406,670,258,227,590,522,207,219
"ENSMUSG00000092644.1",1,4,2,3,2,1,0,0,2,8,4,0,2,1,2,1,3,2,0,2
"ENSMUSG00000020526.12",342,342,493,501,509,452,475,318,528,696,756,253,578,802,375,300,726,789,332,302
"ENSMUSG00000000805.18",696,606,781,569,788,752,809,519,643,1699,2195,690,1517,1995,1041,937,1736,2527,907,802
"ENSMUSG00000000804.14",2833,3121,6416,5012,6246,5822,5547,4246,6346,4176,4969,1943,3347,5113,2454,2126,4746,4338,2183,2082
"ENSMUSG00000082917.1",2,3,10,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000083876.1",2,3,1,0,2,3,1,5,3,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082806.1",15,15,8,23,21,9,25,11,20,10,5,3,8,9,3,3,15,5,7,10
"ENSMUSG00000065011.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000018479.12",2,2,4,9,5,3,9,4,2,6,0,1,5,11,6,5,5,8,2,3
