"","EXP1.WT.HOME.1","EXP1.WT.HOME.2","EXP1.WT.HOME.3","EXP1.WT.LEARN.1","EXP1.WT.LEARN.2","EXP1.WT.LEARN.3","EXP1.KIX.LEARN.1","EXP1.KIX.LEARN.2","EXP1.KIX.LEARN.3","EXP2.WT.HOME.1","EXP2.WT.HOME.2","EXP2.WT.HOME.3","EXP2.WT.LEARN.1","EXP2.WT.LEARN.2","EXP2.WT.LEARN.3","EXP2.WT.LEARN.4","EXP2.KIX.LEARN.1","EXP2.KIX.LEARN.2","EXP2.KIX.LEARN.3","EXP2.KIX.LEARN.4"
"ENSMUSG00000090329.1",8,4,11,7,14,3,3,4,5,4,1,0,4,1,0,1,2,3,0,0
"ENSMUSG00000091577.2",1,4,14,4,6,5,6,2,9,5,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000047643.4",14,37,37,61,41,47,30,22,68,17,16,14,11,12,18,17,13,11,11,20
"ENSMUSG00000064455.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095940.1",0,1,2,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,1,1
"ENSMUSG00000087860.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096642.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032621.8",1337,1527,2977,2044,2494,2209,1857,1548,2488,3628,4542,1720,3022,4525,2182,1973,3804,4522,2000,1856
"ENSMUSG00000021709.14",2317,2097,5577,3385,4836,3258,4095,3750,4172,2848,2882,1187,2118,3192,1580,1461,2445,2869,1324,1322
"ENSMUSG00000021710.10",642,663,1217,1145,1169,1087,1033,792,1212,1079,1232,383,848,1287,578,490,1137,1102,476,490
"ENSMUSG00000042743.13",1705,1492,3255,2926,3299,3107,3214,2087,3542,3814,4315,1446,3053,4452,1977,1783,3838,3482,1631,1515
"ENSMUSG00000021711.16",968,985,2048,1739,1881,1850,1863,1339,2187,2246,2722,1124,1770,2738,1413,1180,2407,2518,1227,1086
"ENSMUSG00000021712.14",1222,1291,2584,2335,2572,2426,2556,1949,2806,2985,3406,1384,2459,3431,1723,1455,3249,3302,1519,1380
"ENSMUSG00000021713.8",104,91,297,173,233,254,238,169,224,301,326,167,253,390,185,160,301,334,147,159
"ENSMUSG00000021714.14",11,8,15,11,5,10,13,14,8,26,22,10,10,31,19,9,28,19,11,10
"ENSMUSG00000046169.9",124,130,301,203,210,232,202,151,221,114,117,53,85,119,52,58,99,100,50,69
"ENSMUSG00000021715.12",213,259,489,342,386,395,379,250,413,585,604,163,367,581,250,254,525,527,240,200
"ENSMUSG00000084860.1",5,8,3,7,9,0,1,0,4,0,0,0,1,1,1,0,2,1,2,0
"ENSMUSG00000021716.14",262,223,539,439,478,482,413,364,603,722,863,337,615,834,426,388,730,875,380,335
"ENSMUSG00000042655.4",3,1,4,4,8,14,4,7,6,20,26,11,17,32,6,5,19,4,5,6
"ENSMUSG00000071193.4",0,2,10,0,1,3,1,7,15,0,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000021719.8",4711,5531,9415,7420,9291,8645,8157,5612,10234,7798,8500,3559,6303,8489,4519,3823,8048,7963,3661,3684
"ENSMUSG00000021718.5",3,0,2,4,1,2,2,1,2,0,1,0,1,1,3,0,2,1,0,0
"ENSMUSG00000021720.10",250,276,541,358,462,455,401,283,457,348,462,151,316,394,195,181,362,359,149,181
"ENSMUSG00000077578.1",0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021721.4",1229,1566,1997,2586,2354,2232,2119,1421,2413,1439,1723,775,1148,1444,851,677,1830,1802,846,704
"ENSMUSG00000108515.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059877.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064854.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000101308.1",3,3,8,0,4,2,1,1,11,15,13,6,8,15,8,11,13,13,11,13
"ENSMUSG00000042590.16",1154,1334,2425,2057,2229,2208,2106,1536,2478,2363,2751,1088,1851,2813,1297,1211,2466,2353,1168,1105
"ENSMUSG00000100833.1",21,19,54,32,47,29,13,21,20,3,5,3,4,4,4,3,2,1,3,3
"ENSMUSG00000021692.8",229,259,473,397,425,438,343,268,413,593,682,262,435,680,329,282,635,698,295,272
"ENSMUSG00000021693.19",1532,1907,2812,2439,3332,2462,2628,1883,2751,3291,3888,1398,2670,3743,1883,1672,3444,3589,1632,1550
"ENSMUSG00000077261.1",0,2,2,2,3,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071181.1",19,19,43,6,24,15,20,13,30,81,79,35,59,72,38,41,81,82,56,34
"ENSMUSG00000049233.6",23,27,58,50,54,38,45,27,55,4,12,15,7,12,21,20,8,11,25,21
"ENSMUSG00000102000.6",0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0
"ENSMUSG00000032846.9",985,1080,1962,1963,2079,1938,1638,1169,1774,1217,1460,532,961,1381,713,629,1234,1243,597,547
"ENSMUSG00000093334.2",0,4,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071180.4",593,638,1157,1085,1182,1150,1141,1028,1340,1882,2265,926,1505,2177,1113,1011,1833,2092,1018,921
"ENSMUSG00000068184.6",184,159,321,300,297,273,277,188,280,449,603,186,347,517,254,264,466,506,214,240
"ENSMUSG00000021694.18",353,407,655,626,585,601,575,410,611,399,424,146,273,393,216,196,364,365,174,180
"ENSMUSG00000021696.8",418,404,1324,560,885,858,837,1039,661,553,1050,213,478,1663,483,479,617,753,642,416
"ENSMUSG00000090358.1",6,6,16,9,10,5,8,7,14,5,6,3,5,9,1,2,3,5,2,3
"ENSMUSG00000021697.12",31,7,41,31,42,21,20,15,18,9,17,5,8,16,1,9,17,5,7,4
"ENSMUSG00000021699.17",1362,1636,2405,2330,2555,2100,1897,1353,2348,919,1100,332,797,1077,500,425,1013,722,403,428
"ENSMUSG00000098836.1",0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0
"ENSMUSG00000099323.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059751.7",120,72,190,146,170,142,196,127,184,7,12,14,7,13,23,14,10,16,12,21
"ENSMUSG00000076946.2",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084651.1",2,2,7,3,6,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000021700.9",5650,7220,12774,10865,12723,12714,10730,7985,13609,16143,17758,6685,11811,16771,8900,7474,15379,12266,7772,7880
"ENSMUSG00000045609.5",6,4,8,9,3,4,4,3,9,0,2,0,0,0,1,0,0,1,0,2
"ENSMUSG00000046006.5",0,0,1,0,1,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0
"ENSMUSG00000021701.7",5918,7102,12321,13613,13053,12182,11377,8843,13577,8220,9781,3558,7048,10287,4982,4262,8200,9289,4018,3731
"ENSMUSG00000109853.1",5,9,20,20,11,10,11,9,21,20,18,5,16,16,5,4,14,13,7,9
"ENSMUSG00000055194.3",0,0,0,4,0,0,1,3,0,0,1,2,4,4,2,3,2,4,1,1
"ENSMUSG00000081277.1",3,1,3,6,8,0,9,5,11,0,0,1,0,0,0,0,0,1,3,2
"ENSMUSG00000082258.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000086201.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000032745.17",1530,1753,3425,2734,3291,2886,2994,2421,3644,3986,4787,1824,3083,4487,2330,2190,3998,4517,2104,1906
"ENSMUSG00000085634.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086870.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086649.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000067122.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
